I (468) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:711, [1]:653, [2]:849, [3]:783, [4]:462, [5]:434, [6]:769, [7]:976, [8]:0, [9]:0
I (488) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:589, [1]:557, [2]:724, [3]:902, [4]:698, [5]:648, [6]:678, [7]:827, [8]:0, [9]:0
I (498) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:490, [1]:463, [2]:634, [3]:919, [4]:615, [5]:1020, [6]:554, [7]:767, [8]:0, [9]:0
I (508) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:435, [1]:406, [2]:570, [3]:767, [4]:608, [5]:554, [6]:723, [7]:705, [8]:0, [9]:0
I (518) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:355, [1]:295, [2]:443, [3]:916, [4]:759, [5]:1035, [6]:249, [7]:655, [8]:0, [9]:0
I (528) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:342, [1]:266, [2]:390, [3]:652, [4]:934, [5]:364, [6]:301, [7]:677, [8]:0, [9]:0
I (538) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:343, [1]:290, [2]:387, [3]:618, [4]:702, [5]:773, [6]:266, [7]:672, [8]:0, [9]:0
I (558) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:295, [2]:385, [3]:830, [4]:250, [5]:309, [6]:976, [7]:674, [8]:0, [9]:0
I (568) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:266, [2]:391, [3]:284, [4]:1010, [5]:260, [6]:862, [7]:677, [8]:0, [9]:0
I (578) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:299, [2]:391, [3]:468, [4]:886, [5]:973, [6]:702, [7]:702, [8]:0, [9]:0
I (588) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:352, [1]:296, [2]:383, [3]:584, [4]:870, [5]:723, [6]:396, [7]:695, [8]:0, [9]:0
I (598) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:293, [2]:386, [3]:449, [4]:684, [5]:301, [6]:504, [7]:709, [8]:0, [9]:0
I (608) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:339, [1]:266, [2]:384, [3]:591, [4]:382, [5]:993, [6]:552, [7]:666, [8]:0, [9]:0
I (628) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:265, [2]:386, [3]:554, [4]:280, [5]:352, [6]:511, [7]:692, [8]:0, [9]:0
I (638) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:262, [2]:385, [3]:944, [4]:952, [5]:366, [6]:688, [7]:679, [8]:0, [9]:0
I (648) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:334, [1]:293, [2]:378, [3]:905, [4]:864, [5]:591, [6]:938, [7]:697, [8]:0, [9]:0
I (658) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:327, [1]:289, [2]:386, [3]:593, [4]:554, [5]:218, [6]:374, [7]:658, [8]:0, [9]:0
I (668) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:264, [2]:390, [3]:374, [4]:977, [5]:629, [6]:302, [7]:678, [8]:0, [9]:0
I (678) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:341, [1]:264, [2]:390, [3]:523, [4]:912, [5]:995, [6]:914, [7]:666, [8]:0, [9]:0
I (698) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:339, [1]:268, [2]:385, [3]:697, [4]:934, [5]:513, [6]:282, [7]:658, [8]:0, [9]:0
I (708) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:290, [2]:385, [3]:447, [4]:537, [5]:783, [6]:471, [7]:669, [8]:0, [9]:0
I (718) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:338, [1]:259, [2]:389, [3]:475, [4]:323, [5]:551, [6]:976, [7]:681, [8]:0, [9]:0
I (728) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:294, [2]:388, [3]:290, [4]:715, [5]:712, [6]:447, [7]:672, [8]:0, [9]:0
I (738) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:261, [2]:381, [3]:551, [4]:643, [5]:870, [6]:351, [7]:659, [8]:0, [9]:0
I (748) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:331, [1]:266, [2]:393, [3]:328, [4]:932, [5]:387, [6]:693, [7]:636, [8]:0, [9]:0
I (758) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:293, [2]:382, [3]:1038, [4]:900, [5]:504, [6]:871, [7]:682, [8]:0, [9]:0
I (778) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:344, [1]:271, [2]:393, [3]:873, [4]:1034, [5]:796, [6]:872, [7]:660, [8]:0, [9]:0
I (788) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:327, [1]:290, [2]:380, [3]:886, [4]:696, [5]:843, [6]:563, [7]:678, [8]:0, [9]:0
I (798) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:336, [1]:293, [2]:392, [3]:347, [4]:785, [5]:266, [6]:668, [7]:691, [8]:0, [9]:0
I (808) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:290, [2]:385, [3]:533, [4]:637, [5]:911, [6]:857, [7]:680, [8]:0, [9]:0
I (818) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:334, [1]:289, [2]:391, [3]:307, [4]:834, [5]:944, [6]:707, [7]:686, [8]:0, [9]:0
I (828) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:340, [1]:294, [2]:386, [3]:848, [4]:935, [5]:264, [6]:674, [7]:700, [8]:0, [9]:0
I (848) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:286, [2]:386, [3]:526, [4]:351, [5]:934, [6]:1023, [7]:664, [8]:0, [9]:0
I (858) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:342, [1]:268, [2]:394, [3]:323, [4]:442, [5]:302, [6]:516, [7]:698, [8]:0, [9]:0
I (868) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:264, [2]:378, [3]:667, [4]:820, [5]:715, [6]:1083, [7]:667, [8]:0, [9]:0
I (878) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:335, [1]:269, [2]:389, [3]:463, [4]:590, [5]:459, [6]:256, [7]:682, [8]:0, [9]:0
I (888) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:338, [1]:264, [2]:385, [3]:520, [4]:526, [5]:548, [6]:1011, [7]:668, [8]:0, [9]:0
I (898) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:284, [2]:383, [3]:516, [4]:776, [5]:749, [6]:418, [7]:667, [8]:0, [9]:0
I (908) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:259, [2]:385, [3]:526, [4]:637, [5]:928, [6]:561, [7]:693, [8]:0, [9]:0
I (928) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:342, [1]:268, [2]:381, [3]:776, [4]:844, [5]:948, [6]:338, [7]:673, [8]:0, [9]:0
I (938) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:329, [1]:290, [2]:398, [3]:262, [4]:533, [5]:397, [6]:654, [7]:653, [8]:0, [9]:0
I (948) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:328, [1]:289, [2]:379, [3]:777, [4]:1003, [5]:758, [6]:499, [7]:709, [8]:0, [9]:0
I (958) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:332, [1]:266, [2]:391, [3]:305, [4]:853, [5]:848, [6]:458, [7]:681, [8]:0, [9]:0
I (968) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:330, [1]:266, [2]:389, [3]:315, [4]:963, [5]:813, [6]:357, [7]:683, [8]:0, [9]:0
I (978) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:333, [1]:257, [2]:385, [3]:295, [4]:317, [5]:771, [6]:868, [7]:664, [8]:0, [9]:0
I (998) EXAMPLE: ADC1 Calibrated Voltage (mV): [0]:331, [1]:264, [2]:379, [3]:852, [4]:1049, [5]:540, [6]:366, [7]:663, [8]:0, [9]:0
